detector_ms,tracker_ms,kalman_ms
0.00,0.09,0.05
0.00,0.14,0.09
0.00,0.14,0.08
0.00,0.12,0.05
0.00,0.16,0.05
0.00,0.12,0.07
0.00,0.19,0.07
0.00,0.12,0.07
0.00,0.16,0.07
0.00,0.09,0.06
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.08,0.05
0.00,0.09,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.12,0.05
0.00,0.08,0.05
0.00,0.09,0.05
0.00,0.12,0.05
0.00,0.08,0.05
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.18,0.05
0.00,0.09,0.05
0.00,0.12,0.06
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.15,0.05
0.00,0.20,0.05
0.00,0.09,0.05
0.00,0.10,0.06
0.00,0.09,0.05
0.00,0.13,0.05
0.00,0.08,0.05
0.00,0.11,0.06
0.00,0.09,0.06
0.00,0.10,0.06
0.00,0.12,0.07
0.00,0.09,0.06
0.00,0.09,0.05
0.00,0.09,0.05
0.00,0.08,0.05
843.48,0.17,0.06
0.00,0.12,0.07
0.00,0.09,0.06
0.00,0.09,0.06
0.00,0.08,0.05
0.00,0.10,0.06
0.00,0.20,0.09
0.00,0.09,0.06
0.00,0.08,0.05
0.00,0.08,0.06
0.00,0.08,0.05
0.00,0.09,0.07
0.00,0.08,0.06
0.00,0.05,0.05
0.00,0.08,0.05
0.00,0.06,0.06
0.00,0.12,0.06
0.00,0.09,0.06
0.00,0.08,0.06
0.00,0.08,0.06
0.00,0.14,0.07
0.00,0.10,0.06
0.00,0.08,0.05
0.00,0.09,0.06
0.00,0.08,0.06
0.00,0.08,0.06
0.00,0.09,0.06
0.00,0.08,0.05
0.00,0.11,0.06
0.00,0.14,0.08
0.00,0.10,0.06
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.10,0.06
0.00,0.08,0.05
0.00,0.12,0.07
0.00,0.08,0.05
0.00,0.08,0.06
0.00,0.08,0.06
0.00,0.09,0.05
0.00,0.09,0.07
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.09,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.09,0.07
0.00,0.12,0.07
0.00,0.10,0.06
0.00,0.16,0.05
0.00,0.11,0.07
0.00,0.12,0.06
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.10,0.06
0.00,0.08,0.05
0.00,0.10,0.07
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.11,0.07
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.08,0.06
0.00,0.08,0.05
0.00,0.10,0.06
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.10,0.08
0.00,0.14,0.07
0.00,0.11,0.06
0.00,0.08,0.05
0.00,0.11,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.19,0.06
0.00,0.08,0.06
0.00,0.12,0.06
0.00,0.08,0.05
0.00,0.11,0.05
0.00,0.10,0.07
0.00,0.13,0.07
0.00,0.17,0.05
0.00,0.08,0.05
0.00,0.11,0.06
0.00,0.08,0.06
0.00,0.08,0.06
0.00,0.11,0.05
0.00,0.15,0.06
0.00,0.18,0.06
851.81,0.18,0.05
0.00,0.08,0.06
0.00,0.09,0.06
0.00,0.08,0.06
0.00,0.07,0.05
0.00,0.09,0.06
0.00,0.30,0.09
0.00,0.10,0.07
0.00,0.10,0.05
0.00,0.07,0.05
0.00,0.08,0.08
0.00,0.08,0.06
0.00,0.09,0.07
0.00,0.08,0.07
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.07,0.06
0.00,0.08,0.05
0.00,0.10,0.06
0.00,0.10,0.06
0.00,0.08,0.05
0.00,0.10,0.06
0.00,0.07,0.06
0.00,0.09,0.06
0.00,0.07,0.05
0.00,0.09,0.06
0.00,0.08,0.05
0.00,0.09,0.07
0.00,0.07,0.05
0.00,0.10,0.08
0.00,0.07,0.06
0.00,0.08,0.06
0.00,0.08,0.05
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.12,0.06
0.00,0.09,0.05
0.00,0.09,0.07
0.00,0.07,0.06
0.00,0.07,0.05
0.00,0.09,0.05
0.00,0.11,0.06
0.00,0.08,0.07
0.00,0.10,0.07
0.00,0.08,0.06
0.00,0.07,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.08,0.05
0.00,0.08,0.05
0.00,0.09,0.05
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.07,0.06
0.00,0.10,0.07
0.00,0.07,0.06
0.00,0.07,0.05
0.00,0.10,0.07
0.00,0.09,0.07
0.00,0.12,0.07
0.00,0.11,0.08
0.00,0.10,0.06
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.07,0.06
0.00,0.07,0.06
0.00,0.11,0.07
0.00,0.10,0.06
0.00,0.10,0.06
0.00,0.07,0.05
0.00,0.10,0.06
0.00,0.10,0.07
0.00,0.07,0.05
0.00,0.07,0.05
0.00,0.08,0.05
